Zip,Total Cases,Deaths
60000,41,N/A
60001,9,N/A
60002,"6,092",N/A
60004,"14,083",N/A
60005,"7,962",N/A
60006,43,N/A
60007,"8,631",N/A
60008,"6,622",N/A
60009,35,N/A
60010,"10,847",N/A
60011,30,N/A
60012,"3,345",N/A
60013,"7,255",N/A
60014,"15,144",N/A
60015,"7,970",N/A
60016,"17,805",N/A
60017,42,N/A
60018,"8,777",N/A
60019,23,N/A
60020,"2,688",N/A
60021,"1,490",N/A
60022,"2,210",N/A
60025,"12,081",N/A
60026,"4,220",N/A
60029,134,N/A
60030,"9,162",N/A
60031,"10,516",N/A
60033,"4,231",N/A
60034,505,N/A
60035,"7,715",N/A
60036,11,N/A
60038,16,N/A
60039,31,N/A
60040,"1,450",N/A
60041,"2,373",N/A
60042,"2,081",N/A
60043,688,N/A
60044,"2,641",N/A
60045,"4,751",N/A
60046,"9,229",N/A
60047,"10,484",N/A
60048,"6,987",N/A
60050,"10,573",N/A
60051,"6,735",N/A
60053,"7,674",N/A
60055,29,N/A
60056,"15,695",N/A
60057,12,N/A
60058,7,N/A
60059,6,N/A
60060,"9,851",N/A
60061,"6,926",N/A
60062,"12,944",N/A
60063,14,N/A
60064,"6,704",N/A
60065,28,N/A
60067,"10,665",N/A
60068,"11,462",N/A
60069,"2,466",N/A
60070,"4,335",N/A
60071,907,N/A
60072,236,N/A
60073,"18,360",N/A
60074,"9,940",N/A
60075,30,N/A
60076,"10,805",N/A
60077,"9,112",N/A
60078,33,N/A
60079,126,N/A
60080,9,N/A
60081,"2,297",N/A
60082,34,N/A
60083,"2,678",N/A
60084,"4,183",N/A
60085,"21,417",N/A
60086,31,N/A
60087,"8,612",N/A
60088,"1,716",N/A
60089,"11,634",N/A
60090,"11,676",N/A
60091,"7,086",N/A
60092,8,N/A
60093,"5,511",N/A
60094,15,N/A
60095,19,N/A
60096,"1,657",N/A
60097,"3,195",N/A
60098,"9,562",N/A
60099,"9,743",N/A
60101,"12,655",N/A
60102,"8,990",N/A
60103,"12,395",N/A
60104,"6,304",N/A
60105,22,N/A
60106,"5,896",N/A
60107,"11,364",N/A
60108,"7,579",N/A
60109,191,N/A
60110,"11,525",N/A
60111,66,N/A
60112,"1,519",N/A
60113,97,N/A
60115,"12,548",N/A
60116,21,N/A
60118,"4,272",N/A
60119,"3,011",N/A
60120,"14,700",N/A
60121,71,N/A
60123,"14,309",N/A
60124,"6,899",N/A
60125,11,N/A
60126,"13,627",N/A
60128,9,N/A
60129,76,N/A
60130,"3,611",N/A
60131,"5,743",N/A
60132,10,N/A
60133,"11,412",N/A
60134,"8,563",N/A
60135,"2,265",N/A
60136,"2,769",N/A
60137,"11,088",N/A
60138,29,N/A
60139,"10,113",N/A
60140,"7,150",N/A
60141,256,N/A
60142,"8,616",N/A
60143,"3,359",N/A
60144,29,N/A
60145,660,N/A
60146,769,N/A
60147,48,N/A
60148,"15,218",N/A
60150,481,N/A
60151,"1,024",N/A
60152,"3,218",N/A
60153,"6,527",N/A
60154,"4,951",N/A
60155,"2,236",N/A
60156,"9,042",N/A
60157,733,N/A
60159,87,N/A
60160,"8,232",N/A
60161,32,N/A
60162,"3,426",N/A
60163,"1,670",N/A
60164,"7,249",N/A
60165,"1,397",N/A
60168,32,N/A
60169,"8,891",N/A
60170,13,N/A
60171,"2,975",N/A
60172,"7,076",N/A
60173,"3,279",N/A
60174,"9,278",N/A
60175,"7,424",N/A
60176,"3,421",N/A
60177,"7,910",N/A
60178,"6,434",N/A
60179,7,N/A
60180,358,N/A
60181,"8,931",N/A
60182,7,N/A
60183,17,N/A
60184,643,N/A
60185,"10,741",N/A
60186,19,N/A
60187,"8,545",N/A
60188,"12,819",N/A
60189,"8,697",N/A
60190,"3,401",N/A
60191,"4,405",N/A
60192,"3,683",N/A
60193,"10,513",N/A
60194,"5,493",N/A
60195,"1,219",N/A
60196,19,N/A
60199,8,N/A
60201,"11,484",N/A
60202,"8,193",N/A
60203,"1,172",N/A
60204,32,N/A
60208,116,N/A
60301,747,N/A
60302,"8,076",N/A
60303,67,N/A
60304,"4,331",N/A
60305,"2,659",N/A
60401,"2,036",N/A
60402,"19,090",N/A
60403,"5,741",N/A
60404,"6,028",N/A
60405,12,N/A
60406,"6,193",N/A
60407,385,N/A
60408,"1,625",N/A
60409,"9,171",N/A
60410,"3,877",N/A
60411,"14,960",N/A
60412,33,N/A
60415,"3,949",N/A
60416,"2,859",N/A
60417,"3,647",N/A
60418,"2,727",N/A
60419,"6,273",N/A
60420,"1,414",N/A
60421,"1,032",N/A
60422,"2,852",N/A
60423,"9,396",N/A
60424,583,N/A
60425,"2,549",N/A
60426,"6,610",N/A
60428,"3,335",N/A
60429,"4,490",N/A
60430,"5,841",N/A
60431,"9,004",N/A
60432,"5,919",N/A
60433,"4,885",N/A
60434,821,N/A
60435,"14,868",N/A
60436,"5,674",N/A
60437,50,N/A
60438,"8,014",N/A
60439,"6,514",N/A
60440,"15,337",N/A
60441,"9,784",N/A
60442,"3,612",N/A
60443,"5,401",N/A
60444,424,N/A
60445,"4,889",N/A
60446,"12,354",N/A
60447,"4,350",N/A
60448,"7,067",N/A
60449,"2,159",N/A
60450,"6,074",N/A
60451,"10,537",N/A
60452,"7,592",N/A
60453,"15,529",N/A
60454,61,N/A
60455,"4,399",N/A
60456,"1,103",N/A
60457,"3,562",N/A
60458,"3,663",N/A
60459,"7,564",N/A
60460,440,N/A
60461,"1,115",N/A
60462,"10,863",N/A
60463,"4,225",N/A
60464,"2,544",N/A
60465,"4,568",N/A
60466,"5,530",N/A
60467,"6,733",N/A
60468,"1,617",N/A
60469,"1,604",N/A
60470,140,N/A
60471,"3,230",N/A
60472,"1,309",N/A
60473,"6,953",N/A
60474,196,N/A
60475,"2,153",N/A
60476,589,N/A
60477,"10,329",N/A
60478,"4,660",N/A
60479,165,N/A
60480,"1,408",N/A
60481,"2,927",N/A
60482,"2,705",N/A
60484,"1,619",N/A
60485,14,N/A
60487,"7,332",N/A
60488,11,N/A
60490,"5,954",N/A
60491,"5,672",N/A
60499,17,N/A
60501,"2,994",N/A
60502,"5,934",N/A
60503,"4,433",N/A
